,Population,Stock,Stock per capita,Stock change,Inflow,Outflow,Stock AB,Stock MFH,Stock SFH,Stock TH
1872,22109128.706810296,4007926.693316909,0.1812792691410921,55013.740836073644,,,0.0,399832.0688082081,300944.16161142907,3307150.462897272
1873,22354617.29308761,4063876.5584924878,0.18179137245839144,55949.86517557874,,,0.0,407475.05795858486,310319.7027824264,3346081.7977514765
1874,22601197.357110087,4120775.1510544578,0.18232552399521912,56898.59256197,,,0.0,415320.01530656795,319965.6200548896,3385489.5156930005
1875,22848837.853826754,4178635.1185479127,0.1828817353985498,57859.967493454926,,,0.0,423371.79462203046,329888.8779604405,3425374.445965442
1876,23097507.141618714,4237469.147853598,0.1834600211127645,58834.02930568531,,,0.0,431635.3524394504,340096.5893513236,3465737.206062824
1877,23347172.996310327,4297289.95979798,0.18406039825366022,59820.811944382265,,,0.0,440115.7492688033,350596.0170643616,3506578.193464815
1878,23597802.62585775,4358110.303531774,0.18468288648012887,60820.343733794056,,,0.0,448818.15077561705,361394.57553579076,3547897.577220367
1879,23849362.68570362,4419942.950672996,0.18532750786344948,61832.64714122191,,,0.0,457747.8289277207,372499.8323632053,3589695.28938207
1880,24101819.29478562,4482800.689210656,0.18599428675413318,62857.73853765987,,,0.0,466910.1631057284,383919.50981033285,3631971.016294595
1881,24355138.05218519,4546696.31716545,0.1866832496462697,63895.627954794094,,,0.0,476310.6411748829,395661.4862507687,3674724.189739798
1882,24609284.05440133,4611642.636003952,0.1873944250393244,64946.31883850135,,,0.0,485954.86051480286,407733.79754592525,3717953.977943223
1883,24864221.913233437,4677652.443802994,0.18812784329733703,66009.8077990422,,,0.0,495848.52900451835,420144.6383533359,3761659.276445139
1884,25119915.77425557,4744738.528161185,0.18888353650548,67086.08435819112,,,0.0,505997.4659597183,432902.36336032115,3805838.6988411453
1885,25376329.335863553,4812913.658854686,0.18966153832393517,68175.13069350086,,,0.0,516407.6030188867,446015.4884385842,3850490.567397215
1886,25633425.86887511,4882190.5802346775,0.1904618838390534,69276.9213799918,,,0.0,527084.9849753089,459492.6917150628,3895612.903544306
1887,25891168.236661863,4952582.00336417,0.19128460941176537,70391.42312949244,,,0.0,538035.770551482,473342.8145539847,3941203.4182587033
1888,26149518.915791273,5024100.597892139,0.19212975252321624,71518.59452796914,,,0.0,549266.2331127555,487574.8624453172,3987259.502334066
1889,26408440.0171552,5096758.983663248,0.1929973516176018,72658.38577110879,,,0.0,560782.7613164851,502198.00579448097,4033778.216552282
1890,26667893.30756082,5170569.722061783,0.1938874459421898,73810.73839853518,,,0.0,572591.8596935864,517221.5806083094,4080756.281759887
1891,26927840.231758766,5245545.307088737,0.1948000753845133,74975.5850269543,,,0.0,584700.149158525,532655.0890718108,4128190.068858402
1892,27188241.934882283,5321698.156171398,0.19573528030673085,76152.84908266086,,,0.0,597114.3674443336,548508.2000106093,4176075.5887164553
1893,27449059.28527021,5399040.600705162,0.19669310137715393,77342.44453376345,,,0.0,609841.3694589384,564790.7492336514,4224408.482012572
1894,27710252.897646084,5477584.876327704,0.19767357939894553,78544.27562254202,,,0.0,622888.1275589834,581512.7397504993,4273184.009018221
1895,27971783.1566245,5557343.1129261395,0.19867675513600588,79758.23659843579,,,0.0,636261.7317375805,598684.3418580238,4322397.039330536
1896,28233610.24051541,5638327.324378158,0.1997026691360612,80984.21145201847,,,0.0,649969.3897217263,616315.893090741,4372042.04156569
1897,28495694.145396244,5720549.398028738,0.20075136155098536,82222.0736505799,,,881.3791758085013,663916.120016843,634320.1516965253,4421431.747139561
1898,28757994.709421236,5804021.083904421,0.2018228719543856,83471.68587568309,,,2257.411879207623,678152.4238550991,652747.050199755,4470864.19797036
1899,29020471.637336694,5888753.983667784,0.20291723915649687,84732.89976336341,,,3682.719132461134,692737.032992671,671655.8162616714,4520678.415280981
1900,29283084.525170606,5974759.5393151855,0.20403450101643197,86005.55564740114,,,5158.605944175782,707677.2959694826,691057.0043197563,4570866.6330817705
1901,29545792.885064542,6062049.0216215225,0.20517469425184728,87289.48230633698,,,6686.400022860512,722980.6672042612,710961.3181806706,4621420.63621373
1902,29808556.17021545,6150633.518336301,0.20633785424608994,88584.49671477824,,,8267.451734862905,738654.7062087224,731379.6096631103,4672331.750729606
1903,30071333.79989476,6240523.922135937,0.2075240148529021,89890.40379963629,,,9903.13404069407,754707.0766825089,752322.8770624909,4723590.834350243
1904,30334085.184512015,6331730.918337868,0.2087332081987666,91206.99620193057,,,11594.84240892977,771145.5454852333,773802.2634324569,4775188.267011248
1905,30596769.75069011,6424264.972382697,0.20996546448298836,92534.05404482968,,,13343.994706876923,787977.9814817891,795829.0546774741,4827113.941516557
1906,30859346.966319285,6518136.317091311,0.21122081177561466,93871.34470861405,,,15152.031067271917,805212.3542574618,818414.6774519911,4879357.2543145865
1907,31121776.36555694,6613354.939704555,0.21249927581330738,95218.62261324376,,,17020.413730123608,822856.7326992846,841570.6968606011,4931907.0964145465
1908,31384017.573740598,6709930.568713857,0.21380087979329135,96575.62900930177,,,18950.62685902336,840919.2834403077,865308.8139547576,4984751.844459768
1909,31646030.332181398,6807872.660491856,0.21512564416551203,97942.09177799895,,,20944.176331085942,859408.2691629356,889640.8630210586,5037879.351976776
1910,31907774.522805907,6907190.385732895,0.21647358642314646,99317.72524103895,,,23002.589499807847,878332.0467586596,914578.8086564844,5091276.940817943
1911,32169210.19261426,7007892.615713994,0.21784472089162257,100702.22998109926,,,25127.414930027484,897699.0653407251,940134.7426262314,5144931.39281701
1912,32430297.577923175,7109987.908387712,0.21923905851631206,102095.29267371818,,,27320.222104379292,917517.8641062459,966320.8804999981,5198828.941677089
1913,32690997.128362633,7213484.4943191195,0.22065660664907394,103496.58593140729,,,29582.601100407453,937797.0700458455,993149.5580622455,5252955.265110621
1914,32951269.530595984,7318390.262479879,0.2220973688338348,104905.76816075947,,,31916.16223770275,958545.3954969959,1020633.2274932651,5307295.477251915
1915,33211075.73173331,7424712.745913316,0.2235613445914061,106322.4834334366,,,34322.535694464554,979771.6355390713,1048784.4533169784,5361834.121362802
1916,33470376.962409087,7532459.107285127,0.22504852920374654,107746.36137181148,,,36803.371092713736,1001484.6652274048,1077615.9081124167,5416555.162852592
1917,33729134.75949548,7641636.124335253,0.2265589134978912,109177.01705012564,,,39360.337051687005,1023693.4366642894,1107140.3679856926,5471441.982633584
1918,33987310.98842373,7752250.175247262,0.22809248362977944,110614.05091200955,,,41995.12070874681,1046406.9759045762,1137370.7078002207,5526477.370833718
1919,34244867.86508677,7864307.223952455,0.22964922086822392,112057.04870519321,,,44709.42720730113,1069634.379694286,1168319.896161973,5581643.520888895
1920,34501767.9772972,7977812.805386695,0.2312291013792755,113505.58143423963,,,47504.97915125001,1093384.8120404792,1200000.9901588683,5636922.024036098
1921,34757974.305775575,8092772.010718863,0.23283209601124896,114959.20533216838,,,50383.516025481666,1117667.5006110943,1232427.129851572,5692293.864230716
1922,35013450.24464518,8209189.472570635,0.2344581700806854,116417.46185177192,,,53346.79358197143,1142491.7329636007,1265611.5325153477,5747739.413509716
1923,35268159.621410385,8327069.350248075,0.23610728315953655,117879.87767743971,,,56396.58319121839,1167866.8526018104,1299567.4866315082,5803238.427823538
1924,35522066.716396704,8446415.31500641,0.23777938886386957,119345.96475833561,,,59534.67115856126,1193802.2548598186,1334308.345628473,5858770.043359558
1925,35775136.281631954,8567230.535370091,0.23947443464439766,120815.22036368027,,,62762.85800522907,1220307.3826134638,1369847.5213722894,5914312.773379109
1926,36027333.55914902,8689517.662531039,0.2411923615791534,122287.12716094777,,,66082.95771389082,1247391.7218191042,1406198.4774073039,5969844.50559074
1927,36278624.298691794,8813278.81584874,0.2429331041686315,123761.15331770107,,,69496.79693850063,1275064.796880005,1443374.7219479228,6025342.500082311
1928,36528974.774807446,8938515.568476543,0.24469659013373338,125236.75262780301,,,73006.21417845145,1303336.1658413168,1481389.8006231051,6080783.387833669
1929,36778351.803308815,9065228.93313928,0.24648274021686079,126713.36466273665,,,76613.05891695015,1332215.4154146574,1520257.288975702,6136143.169831971
1930,37026722.75709267,9193419.348087901,0.24829146798650584,128190.41494862176,,,80319.19072365144,1361712.1558337726,1559990.7847193212,6191397.216811156
1931,37274055.58130032,9323086.663257565,0.2501226796456992,129667.3151696641,,,84126.4783217689,1391836.0155433568,1600603.8997558076,6246520.269636632
1932,37520318.807808615,9454230.12665609,0.25197627384468024,131143.4633985255,,,88036.79861977561,1422596.635723075,1642110.2519572321,6301486.440356008
1933,37765481.56904059,9586848.371010331,0.25385214149816226,132618.2443542406,,,92052.03570794531,1454003.6646495194,1684523.456717207,6356269.213935659
